'The Doctor' Romanov | Sabre,$4.59,$4.79
AK-47 | Emerald Pinstripe (Field-Tested),$2.17,$2.26
AK-47 | Emerald Pinstripe (Minimal Wear),$3.78,$3.95
AK-47 | Emerald Pinstripe (Well-Worn),$2.01,$2.10
AK-47 | Fire Serpent (Battle-Scarred),$325.32,$340.10
AK-47 | Fire Serpent (Field-Tested),$558.51,$583.89
AK-47 | Fire Serpent (Minimal Wear),$960.78,$1,004.45
AK-47 | Fire Serpent (Well-Worn),$448.09,$468.45
AK-47 | First Class (Battle-Scarred),$24.14,$25.23
AK-47 | First Class (Factory New),$53.94,$56.39
AK-47 | First Class (Field-Tested),$27.99,$29.26
AK-47 | First Class (Minimal Wear),$33.14,$34.64
AK-47 | First Class (Well-Worn),$24.39,$25.49
AK-47 | Frontside Misty (Battle-Scarred),$13.81,$14.43
AK-47 | Frontside Misty (Factory New),$48.20,$50.39
AK-47 | Frontside Misty (Field-Tested),$15.96,$16.68
AK-47 | Frontside Misty (Minimal Wear),$25.20,$26.34
AK-47 | Frontside Misty (Well-Worn),$17.52,$18.31
AK-47 | Fuel Injector (Battle-Scarred),$43.05,$45.00
AK-47 | Fuel Injector (Factory New),$203.46,$212.70
AK-47 | Fuel Injector (Field-Tested),$65.86,$68.85
AK-47 | Fuel Injector (Minimal Wear),$98.03,$102.48
AK-47 | Fuel Injector (Well-Worn),$50.69,$52.99
AK-47 | Hydroponic (Battle-Scarred),$166.40,$173.96
AK-47 | Hydroponic (Factory New),$814.00,$851.00
AK-47 | Hydroponic (Field-Tested),$316.80,$331.20
AK-47 | Hydroponic (Minimal Wear),$585.12,$611.71
AK-47 | Hydroponic (Well-Worn),$730.24,$763.43
AK-47 | Jaguar (Battle-Scarred),$18.00,$18.81
AK-47 | Jaguar (Factory New),$88.47,$92.49
AK-47 | Jaguar (Field-Tested),$20.90,$21.85
AK-47 | Jaguar (Minimal Wear),$25.61,$26.77
AK-47 | Jaguar (Well-Worn),$19.45,$20.33
AK-47 | Jet Set (Battle-Scarred),$68.07,$71.16
AK-47 | Jet Set (Factory New),$1,120.94,$1,171.89
AK-47 | Jet Set (Field-Tested),$103.70,$108.41
AK-47 | Jet Set (Minimal Wear),$141.36,$147.78
AK-47 | Jet Set (Well-Worn),$81.88,$85.60
AK-47 | Jungle Spray (Battle-Scarred),$2.77,$2.89
AK-47 | Jungle Spray (Factory New),$46.12,$48.21
AK-47 | Jungle Spray (Field-Tested),$2.86,$2.99
AK-47 | Jungle Spray (Minimal Wear),$7.53,$7.87
AK-47 | Jungle Spray (Well-Worn),$3.83,$4.00
AK-47 | Neon Revolution (Battle-Scarred),$19.97,$20.87
AK-47 | Neon Revolution (Factory New),$55.62,$58.14
AK-47 | Neon Revolution (Field-Tested),$20.75,$21.69
AK-47 | Neon Revolution (Minimal Wear),$30.80,$32.20
AK-47 | Neon Revolution (Well-Worn),$26.79,$28.00
AK-47 | Neon Rider (Battle-Scarred),$25.01,$26.14
AK-47 | Neon Rider (Factory New),$104.26,$108.99
AK-47 | Neon Rider (Field-Tested),$35.03,$36.62
AK-47 | Neon Rider (Minimal Wear),$55.02,$57.52
AK-47 | Neon Rider (Well-Worn),$43.27,$45.23
AK-47 | Orbit Mk01 (Battle-Scarred),$11.18,$11.68
AK-47 | Orbit Mk01 (Factory New),$15.91,$16.63
AK-47 | Orbit Mk01 (Field-Tested),$9.84,$10.28
AK-47 | Orbit Mk01 (Minimal Wear),$12.13,$12.68
AK-47 | Orbit Mk01 (Well-Worn),$11.82,$12.35
AK-47 | Phantom Disruptor (Battle-Scarred),$10.23,$10.69
AK-47 | Phantom Disruptor (Factory New),$23.04,$24.08
AK-47 | Phantom Disruptor (Field-Tested),$11.99,$12.53
AK-47 | Phantom Disruptor (Minimal Wear),$16.43,$17.17
AK-47 | Phantom Disruptor (Well-Worn),$14.01,$14.64
AK-47 | Point Disarray (Battle-Scarred),$13.81,$14.43
AK-47 | Point Disarray (Factory New),$45.27,$47.32
AK-47 | Point Disarray (Field-Tested),$18.83,$19.68
AK-47 | Point Disarray (Minimal Wear),$30.14,$31.51
AK-47 | Point Disarray (Well-Worn),$21.30,$22.26
AK-47 | Predator (Battle-Scarred),$5.89,$6.15
AK-47 | Predator (Factory New),$22.00,$23.00
AK-47 | Predator (Field-Tested),$5.95,$6.22
AK-47 | Predator (Minimal Wear),$6.77,$7.07
AK-47 | Predator (Well-Worn),$6.08,$6.35
AK-47 | Rat Rod (Battle-Scarred),$3.97,$4.15
AK-47 | Rat Rod (Factory New),$9.74,$10.18
AK-47 | Rat Rod (Field-Tested),$3.90,$4.07
AK-47 | Rat Rod (Minimal Wear),$5.65,$5.90
AK-47 | Rat Rod (Well-Worn),$3.98,$4.16
AK-47 | Red Laminate (Battle-Scarred),$17.31,$18.09
AK-47 | Red Laminate (Factory New),$206.33,$215.70
AK-47 | Red Laminate (Field-Tested),$18.64,$19.48
AK-47 | Red Laminate (Minimal Wear),$26.21,$27.40
AK-47 | Red Laminate (Well-Worn),$19.53,$20.41
AK-47 | Redline (Battle-Scarred),$8.92,$9.32
AK-47 | Redline (Field-Tested),$14.75,$15.42
AK-47 | Redline (Minimal Wear),$55.48,$58.00
AK-47 | Redline (Well-Worn),$14.61,$15.27
AK-47 | Safari Mesh (Battle-Scarred),$0.20,$0.21
AK-47 | Safari Mesh (Factory New),$3.87,$4.04
AK-47 | Safari Mesh (Field-Tested),$0.18,$0.19
AK-47 | Safari Mesh (Minimal Wear),$0.53,$0.55
AK-47 | Safari Mesh (Well-Worn),$0.28,$0.29
AK-47 | Safety Net (Battle-Scarred),$9.24,$9.66
AK-47 | Safety Net (Factory New),$20.07,$20.98
AK-47 | Safety Net (Field-Tested),$9.57,$10.00
AK-47 | Safety Net (Minimal Wear),$14.44,$15.09
AK-47 | Safety Net (Well-Worn),$10.65,$11.13
AK-47 | The Empress (Battle-Scarred),$30.97,$32.37
AK-47 | The Empress (Factory New),$121.44,$126.96
AK-47 | The Empress (Field-Tested),$40.41,$42.24
AK-47 | The Empress (Minimal Wear),$59.57,$62.27
AK-47 | The Empress (Well-Worn),$33.84,$35.37
AK-47 | Uncharted (Battle-Scarred),$0.44,$0.46
AK-47 | Uncharted (Factory New),$1.46,$1.52
AK-47 | Uncharted (Field-Tested),$0.42,$0.43
AK-47 | Uncharted (Minimal Wear),$0.67,$0.70
AK-47 | Uncharted (Well-Worn),$0.82,$0.85
AK-47 | Vulcan (Battle-Scarred),$26.69,$27.90
AK-47 | Vulcan (Factory New),$236.78,$247.54
AK-47 | Vulcan (Field-Tested),$57.14,$59.73
AK-47 | Vulcan (Minimal Wear),$116.99,$122.30
AK-47 | Vulcan (Well-Worn),$41.77,$43.66
AK-47 | Wasteland Rebel (Battle-Scarred),$22.46,$23.48
AK-47 | Wasteland Rebel (Factory New),$171.98,$179.79
AK-47 | Wasteland Rebel (Field-Tested),$25.32,$26.47
AK-47 | Wasteland Rebel (Minimal Wear),$38.28,$40.02
AK-47 | Wasteland Rebel (Well-Worn),$30.88,$32.28
AK-47 | Wild Lotus (Battle-Scarred),$750.87,$785.00
AK-47 | Wild Lotus (Well-Worn),$1,286.95,$1,345.44
Alyx Pin,$39.86,$41.67
Atlanta 2017 Cache Souvenir Package,$9.55,$9.98
Atlanta 2017 Challengers (Holo-Foil),$43.80,$45.79
Atlanta 2017 Cobblestone Souvenir Package,$393.00,$410.86
Atlanta 2017 Dust II Souvenir Package,$8.78,$9.17
Atlanta 2017 Legends (Holo-Foil),$59.77,$62.48
Atlanta 2017 Mirage Souvenir Package,$9.88,$10.32
Atlanta 2017 Nuke Souvenir Package,$20.75,$21.69
Atlanta 2017 Overpass Souvenir Package,$17.35,$18.13
Atlanta 2017 Train Souvenir Package,$5.20,$5.43
Audience Participation Parcel,$19.10,$19.96
AUG | Akihabara Accept (Battle-Scarred),$208.14,$217.60
AUG | Akihabara Accept (Field-Tested),$468.80,$490.10
AUG | Akihabara Accept (Minimal Wear),$1,719.35,$1,797.50
AUG | Akihabara Accept (Well-Worn),$271.66,$284.00
AUG | Amber Slipstream (Battle-Scarred),$0.10,$0.11
AUG | Amber Slipstream (Factory New),$0.24,$0.25
AUG | Amber Slipstream (Field-Tested),$0.11,$0.12
AUG | Amber Slipstream (Minimal Wear),$0.17,$0.18
AUG | Amber Slipstream (Well-Worn),$0.11,$0.12
AUG | Anodized Navy (Factory New),$12.44,$13.00
AUG | Anodized Navy (Minimal Wear),$12.37,$12.93
AUG | Arctic Wolf (Battle-Scarred),$0.49,$0.51
AUG | Arctic Wolf (Factory New),$3.61,$3.77
AUG | Arctic Wolf (Field-Tested),$0.99,$1.03
AUG | Arctic Wolf (Minimal Wear),$2.05,$2.14
AUG | Arctic Wolf (Well-Worn),$1.34,$1.40
AUG | Aristocrat (Battle-Scarred),$0.53,$0.55
AUG | Aristocrat (Factory New),$1.74,$1.81
AUG | Aristocrat (Field-Tested),$0.60,$0.62
AUG | Aristocrat (Minimal Wear),$1.04,$1.08
AUG | Aristocrat (Well-Worn),$0.77,$0.80
AUG | Bengal Tiger (Battle-Scarred),$3.78,$3.95
AUG | Bengal Tiger (Factory New),$56.49,$59.05
AUG | Bengal Tiger (Field-Tested),$3.03,$3.16
AUG | Bengal Tiger (Minimal Wear),$6.66,$6.96
AUG | Bengal Tiger (Well-Worn),$3.59,$3.75
AUG | Chameleon (Battle-Scarred),$4.99,$5.21
AUG | Chameleon (Factory New),$6.01,$6.28
AUG | Chameleon (Field-Tested),$3.64,$3.80
AUG | Chameleon (Minimal Wear),$4.74,$4.95
AUG | Chameleon (Well-Worn),$4.90,$5.12
AUG | Colony (Battle-Scarred),$0.27,$0.28
AUG | Colony (Factory New),$5.20,$5.43
AUG | Colony (Field-Tested),$0.29,$0.30
AUG | Colony (Minimal Wear),$0.48,$0.50
AUG | Colony (Well-Worn),$0.30,$0.31
AUG | Condemned (Battle-Scarred),$0.07,$0.08
AUG | Condemned (Factory New),$0.47,$0.49
AUG | Condemned (Field-Tested),$0.07,$0.08
AUG | Condemned (Minimal Wear),$0.10,$0.11
AUG | Condemned (Well-Worn),$0.07,$0.08
AUG | Contractor (Battle-Scarred),$0.03,$0.04
AUG | Contractor (Factory New),$0.13,$0.14
AUG | Contractor (Field-Tested),$0.03,$0.04
AUG | Contractor (Minimal Wear),$0.03,$0.04
AUG | Contractor (Well-Worn),$0.03,$0.04
AUG | Copperhead (Field-Tested),$48.70,$50.91
AUG | Copperhead (Minimal Wear),$65.25,$68.21
AUG | Daedalus (Battle-Scarred),$0.61,$0.63
AUG | Daedalus (Factory New),$0.94,$0.98
AUG | Daedalus (Field-Tested),$0.61,$0.63
AUG | Daedalus (Minimal Wear),$0.81,$0.84
AUG | Daedalus (Well-Worn),$0.61,$0.63
AUG | Death by Puppy (Factory New),$6.65,$6.95
AUG | Death by Puppy (Field-Tested),$3.59,$3.75
AUG | Death by Puppy (Minimal Wear),$4.64,$4.85
AUG | Death by Puppy (Well-Worn),$3.49,$3.64
AUG | Flame Jörmungandr (Battle-Scarred),$101.58,$106.19
AUG | Flame Jörmungandr (Factory New),$64.40,$67.32
AUG | Flame Jörmungandr (Field-Tested),$62.77,$65.62
AUG | Flame Jörmungandr (Minimal Wear),$66.56,$69.58
AUG | Flame Jörmungandr (Well-Worn),$114.07,$119.25
AUG | Fleet Flock (Battle-Scarred),$1.99,$2.08
AUG | Fleet Flock (Factory New),$12.56,$13.13
AUG | Fleet Flock (Field-Tested),$1.94,$2.02
AUG | Fleet Flock (Minimal Wear),$4.00,$4.18
AUG | Fleet Flock (Well-Worn),$1.82,$1.90
AUG | Hot Rod (Factory New),$204.96,$214.27
AUG | Midnight Lily (Battle-Scarred),$25.30,$26.45
AUG | Midnight Lily (Factory New),$39.74,$41.54
AUG | Midnight Lily (Field-Tested),$31.29,$32.71
AUG | Midnight Lily (Minimal Wear),$37.31,$39.00
AUG | Midnight Lily (Well-Worn),$27.81,$29.07
AUG | Momentum (Battle-Scarred),$1.77,$1.85
AUG | Momentum (Factory New),$20.00,$20.90
AUG | Momentum (Field-Tested),$2.39,$2.49
AUG | Momentum (Minimal Wear),$6.47,$6.76
AUG | Momentum (Well-Worn),$1.76,$1.84
AUG | Navy Murano (Battle-Scarred),$0.10,$0.11
AUG | Navy Murano (Factory New),$0.92,$0.96
AUG | Navy Murano (Field-Tested),$0.12,$0.13
AUG | Navy Murano (Minimal Wear),$0.22,$0.23
AUG | Navy Murano (Well-Worn),$0.10,$0.11
AUG | Radiation Hazard (Battle-Scarred),$0.39,$0.40
AUG | Radiation Hazard (Factory New),$0.97,$1.01
AUG | Radiation Hazard (Field-Tested),$0.46,$0.48
AUG | Radiation Hazard (Minimal Wear),$0.72,$0.75
AUG | Radiation Hazard (Well-Worn),$0.53,$0.55
AUG | Random Access (Battle-Scarred),$0.67,$0.70
AUG | Random Access (Factory New),$2.80,$2.92
AUG | Random Access (Field-Tested),$0.77,$0.80
AUG | Random Access (Minimal Wear),$1.36,$1.42
AUG | Random Access (Well-Worn),$0.73,$0.76
AUG | Ricochet (Battle-Scarred),$0.16,$0.17
AUG | Ricochet (Factory New),$1.16,$1.21
AUG | Ricochet (Field-Tested),$0.19,$0.20
AUG | Ricochet (Minimal Wear),$0.56,$0.58
AUG | Ricochet (Well-Worn),$0.52,$0.54
AUG | Storm (Battle-Scarred),$0.03,$0.04
AUG | Storm (Factory New),$0.16,$0.17
AUG | Storm (Field-Tested),$0.03,$0.04
AUG | Storm (Minimal Wear),$0.03,$0.04
AUG | Storm (Well-Worn),$0.03,$0.04
AUG | Stymphalian (Battle-Scarred),$1.94,$2.02
AUG | Stymphalian (Factory New),$6.34,$6.62
AUG | Stymphalian (Field-Tested),$1.94,$2.02
AUG | Stymphalian (Minimal Wear),$3.14,$3.28
AUG | Stymphalian (Well-Worn),$1.87,$1.95
AUG | Sweeper (Battle-Scarred),$0.04,$0.05
AUG | Sweeper (Factory New),$0.09,$0.10
AUG | Sweeper (Field-Tested),$0.04,$0.05
AUG | Sweeper (Minimal Wear),$0.05,$0.06
AUG | Sweeper (Well-Worn),$0.04,$0.05
AUG | Syd Mead (Battle-Scarred),$1.84,$1.92
AUG | Syd Mead (Factory New),$7.10,$7.42
AUG | Syd Mead (Field-Tested),$1.87,$1.95
AUG | Syd Mead (Minimal Wear),$3.32,$3.47
AUG | Syd Mead (Well-Worn),$2.35,$2.45
AUG | Tom Cat (Battle-Scarred),$0.08,$0.09
AUG | Tom Cat (Factory New),$0.53,$0.55
AUG | Tom Cat (Field-Tested),$0.10,$0.11
AUG | Tom Cat (Minimal Wear),$0.22,$0.23
AUG | Tom Cat (Well-Worn),$0.14,$0.15
AUG | Torque (Battle-Scarred),$1.69,$1.76
AUG | Torque (Factory New),$2.38,$2.48
AUG | Torque (Field-Tested),$1.61,$1.68
AUG | Torque (Minimal Wear),$1.88,$1.96
AUG | Torque (Well-Worn),$1.68,$1.75
AUG | Triqua (Battle-Scarred),$0.08,$0.09
AUG | Triqua (Factory New),$0.64,$0.66
AUG | Triqua (Field-Tested),$0.08,$0.09
AUG | Triqua (Minimal Wear),$0.13,$0.14
AUG | Triqua (Well-Worn),$0.08,$0.09
AUG | Wings (Factory New),$6.20,$6.48
AUG | Wings (Minimal Wear),$6.60,$6.90
Autograph Capsule | Astralis | Atlanta 2017,$6.47,$6.76
Autograph Capsule | Astralis | Cologne 2016,$12.01,$12.55
Autograph Capsule | Astralis | MLG Columbus 2016,$3.23,$3.37
Autograph Capsule | Challengers (Foil) | Atlanta 2017,$40.04,$41.86
Autograph Capsule | Challengers (Foil) | Cluj-Napoca 2015,$16.29,$17.03
Autograph Capsule | Challengers (Foil) | Cologne 2016,$32.04,$33.49
Autograph Capsule | Challengers (Foil) | MLG Columbus 2016,$21.41,$22.38
Autograph Capsule | Cloud9 G2A | Cologne 2015,$4.02,$4.20
Autograph Capsule | Cloud9 | Cluj-Napoca 2015,$4.79,$5.00
Autograph Capsule | Cloud9 | MLG Columbus 2016,$6.34,$6.62
Autograph Capsule | Counter Logic Gaming | Cluj-Napoca 2015,$2.55,$2.66
Autograph Capsule | Counter Logic Gaming | Cologne 2015,$3.83,$4.00
Autograph Capsule | Counter Logic Gaming | Cologne 2016,$3.83,$4.00
Autograph Capsule | Counter Logic Gaming | MLG Columbus 2016,$2.18,$2.27
Autograph Capsule | FaZe Clan | Atlanta 2017,$3.83,$4.00
Autograph Capsule | FaZe Clan | Cologne 2016,$6.05,$6.32
Autograph Capsule | FaZe Clan | MLG Columbus 2016,$5.17,$5.40
Autograph Capsule | Flipsid3 Tactics | Atlanta 2017,$3.71,$3.87
Autograph Capsule | Flipsid3 Tactics | Cluj-Napoca 2015,$2.61,$2.72
Autograph Capsule | Flipsid3 Tactics | Cologne 2015,$2.46,$2.57
Autograph Capsule | Flipsid3 Tactics | Cologne 2016,$3.05,$3.18
Autograph Capsule | Flipsid3 Tactics | MLG Columbus 2016,$4.74,$4.95
Autograph Capsule | Fnatic | Atlanta 2017,$2.67,$2.79
Autograph Capsule | Fnatic | Cluj-Napoca 2015,$2.95,$3.08
Autograph Capsule | Fnatic | Cologne 2015,$2.18,$2.27
Autograph Capsule | Fnatic | Cologne 2016,$5.02,$5.24
Autograph Capsule | Fnatic | MLG Columbus 2016,$2.80,$2.92
Autograph Capsule | G2 Esports | Atlanta 2017,$5.44,$5.68
Autograph Capsule | G2 Esports | Cluj-Napoca 2015,$1.91,$1.99
Autograph Capsule | G2 Esports | Cologne 2016,$9.24,$9.66
Autograph Capsule | G2 Esports | MLG Columbus 2016,$4.76,$4.97
Autograph Capsule | Gambit Gaming | Atlanta 2017,$2.18,$2.27
Autograph Capsule | Gambit Gaming | Cologne 2016,$2.99,$3.12
Autograph Capsule | Gambit Gaming | MLG Columbus 2016,$4.23,$4.42
Autograph Capsule | GODSENT | Atlanta 2017,$2.78,$2.90
Autograph Capsule | Group A (Foil) | Cologne 2015,$7.71,$8.06
Autograph Capsule | Group B (Foil) | Cologne 2015,$9.48,$9.91
Autograph Capsule | Group C (Foil) | Cologne 2015,$8.03,$8.39
Autograph Capsule | Group D (Foil) | Cologne 2015,$10.85,$11.34
Autograph Capsule | HellRaisers | Atlanta 2017,$3.08,$3.22
Autograph Capsule | Legends (Foil) | Atlanta 2017,$51.86,$54.21
Autograph Capsule | Legends (Foil) | Cluj-Napoca 2015,$12.56,$13.13
Autograph Capsule | Legends (Foil) | Cologne 2016,$30.62,$32.01
Autograph Capsule | Legends (Foil) | MLG Columbus 2016,$15.34,$16.03
Autograph Capsule | Luminosity Gaming | Cluj-Napoca 2015,$9.55,$9.98
Autograph Capsule | Luminosity Gaming | Cologne 2015,$4.02,$4.20
Autograph Capsule | Luminosity Gaming | MLG Columbus 2016,$3.58,$3.74
Autograph Capsule | mousesports | Atlanta 2017,$5.20,$5.43
Autograph Capsule | mousesports | Cluj-Napoca 2015,$8.44,$8.82
Autograph Capsule | mousesports | Cologne 2015,$2.06,$2.15
Autograph Capsule | mousesports | Cologne 2016,$5.26,$5.49
Autograph Capsule | mousesports | MLG Columbus 2016,$3.75,$3.92
Autograph Capsule | Natus Vincere | Atlanta 2017,$32.75,$34.23
Autograph Capsule | Natus Vincere | Cluj-Napoca 2015,$2.58,$2.69
Autograph Capsule | Natus Vincere | Cologne 2015,$2.79,$2.91
Autograph Capsule | Natus Vincere | Cologne 2016,$4.38,$4.57
Autograph Capsule | Natus Vincere | MLG Columbus 2016,$2.51,$2.62
Autograph Capsule | Ninjas in Pyjamas | Cluj-Napoca 2015,$2.24,$2.34
Autograph Capsule | Ninjas in Pyjamas | Cologne 2015,$2.25,$2.35
Autograph Capsule | Ninjas in Pyjamas | Cologne 2016,$2.75,$2.87
Autograph Capsule | Ninjas in Pyjamas | MLG Columbus 2016,$2.33,$2.43
Autograph Capsule | North | Atlanta 2017,$2.70,$2.82
Autograph Capsule | OpTic Gaming | Atlanta 2017,$3.52,$3.68
Autograph Capsule | OpTic Gaming | Cologne 2016,$2.31,$2.41
Autograph Capsule | Renegades | Cologne 2015,$2.37,$2.47
Autograph Capsule | SK Gaming | Atlanta 2017,$5.46,$5.70
Autograph Capsule | SK Gaming | Cologne 2016,$3.26,$3.40
Autograph Capsule | Splyce | MLG Columbus 2016,$2.55,$2.66
Autograph Capsule | Team Dignitas | Cluj-Napoca 2015,$7.90,$8.25
Autograph Capsule | Team Dignitas | Cologne 2016,$5.73,$5.99
Autograph Capsule | Team eBettle | Cologne 2015,$2.11,$2.20
Autograph Capsule | Team EnVyUs | Atlanta 2017,$4.89,$5.11
Autograph Capsule | Team EnVyUs | Cluj-Napoca 2015,$2.33,$2.43
Autograph Capsule | Team EnVyUs | Cologne 2015,$2.36,$2.46
Autograph Capsule | Team EnVyUs | Cologne 2016,$8.71,$9.10
Autograph Capsule | Team EnVyUs | MLG Columbus 2016,$4.38,$4.57
Autograph Capsule | Team Immunity | Cologne 2015,$2.20,$2.30
Autograph Capsule | Team Kinguin | Cologne 2015,$5.22,$5.45
Autograph Capsule | Team Liquid | Atlanta 2017,$5.39,$5.63
Autograph Capsule | Team Liquid | Cluj-Napoca 2015,$3.08,$3.22
Autograph Capsule | Team Liquid | Cologne 2016,$7.78,$8.13
Autograph Capsule | Team Liquid | MLG Columbus 2016,$4.12,$4.30
Autograph Capsule | Team SoloMid | Cluj-Napoca 2015,$2.09,$2.18
Autograph Capsule | Team SoloMid | Cologne 2015,$2.03,$2.12
Autograph Capsule | Titan | Cluj-Napoca 2015,$5.47,$5.71
Autograph Capsule | Titan | Cologne 2015,$5.48,$5.72
Autograph Capsule | Vexed Gaming | Cluj-Napoca 2015,$3.37,$3.52
Autograph Capsule | Virtus.Pro | Atlanta 2017,$2.27,$2.37
Autograph Capsule | Virtus.Pro | Cluj-Napoca 2015,$1.67,$1.74
Autograph Capsule | Virtus.Pro | Cologne 2015,$2.16,$2.25
Autograph Capsule | Virtus.Pro | Cologne 2016,$3.33,$3.48
Autograph Capsule | Virtus.Pro | MLG Columbus 2016,$2.20,$2.30
AWP | Acheron (Battle-Scarred),$1.39,$1.45
AWP | Acheron (Factory New),$5.36,$5.60
AWP | Acheron (Field-Tested),$1.55,$1.62
AWP | Acheron (Minimal Wear),$2.68,$2.80
AWP | Acheron (Well-Worn),$2.67,$2.79
AWP | Asiimov (Battle-Scarred),$46.29,$48.39
AWP | Asiimov (Field-Tested),$75.03,$78.44
AWP | Asiimov (Well-Worn),$57.42,$60.03
AWP | Atheris (Battle-Scarred),$1.99,$2.08
AWP | Atheris (Factory New),$10.75,$11.23
AWP | Atheris (Field-Tested),$3.04,$3.17
AWP | Atheris (Minimal Wear),$5.22,$5.45
AWP | Atheris (Well-Worn),$2.33,$2.43
AWP | BOOM (Factory New),$173.08,$180.94
AWP | BOOM (Field-Tested),$32.34,$33.81
AWP | BOOM (Minimal Wear),$36.03,$37.66
AWP | Capillary (Battle-Scarred),$0.56,$0.58
AWP | Capillary (Factory New),$3.61,$3.77
AWP | Capillary (Field-Tested),$0.61,$0.63
AWP | Capillary (Minimal Wear),$0.96,$1.00
AWP | Capillary (Well-Worn),$0.90,$0.94
AWP | Containment Breach (Battle-Scarred),$30.14,$31.51
AWP | Containment Breach (Factory New),$205.17,$214.49
AWP | Containment Breach (Field-Tested),$48.78,$50.99
AWP | Containment Breach (Minimal Wear),$77.80,$81.33
AWP | Containment Breach (Well-Worn),$37.03,$38.71
AWP | Corticera (Factory New),$20.57,$21.50
AWP | Corticera (Field-Tested),$7.78,$8.13
AWP | Corticera (Minimal Wear),$8.40,$8.78
AWP | Electric Hive (Factory New),$23.94,$25.02
AWP | Electric Hive (Field-Tested),$15.18,$15.87
AWP | Electric Hive (Minimal Wear),$19.12,$19.98
AWP | Electric Hive (Well-Worn),$22.46,$23.48
AWP | Elite Build (Battle-Scarred),$3.82,$3.99
AWP | Elite Build (Factory New),$16.66,$17.41
AWP | Elite Build (Field-Tested),$4.49,$4.69
AWP | Elite Build (Minimal Wear),$8.07,$8.43
AWP | Elite Build (Well-Worn),$4.00,$4.18
AWP | Fever Dream (Battle-Scarred),$4.25,$4.44
AWP | Fever Dream (Factory New),$8.96,$9.36
AWP | Fever Dream (Field-Tested),$5.04,$5.26
AWP | Fever Dream (Minimal Wear),$5.91,$6.17
AWP | Fever Dream (Well-Worn),$7.22,$7.54
AWP | Graphite (Factory New),$85.76,$89.65
AWP | Graphite (Minimal Wear),$100.44,$105.00
AWP | Hyper Beast (Battle-Scarred),$18.44,$19.27
AWP | Hyper Beast (Factory New),$74.18,$77.55
AWP | Hyper Beast (Field-Tested),$28.39,$29.68
AWP | Hyper Beast (Minimal Wear),$45.81,$47.89
AWP | Hyper Beast (Well-Worn),$23.39,$24.45
AWP | Lightning Strike (Factory New),$203.50,$212.75
AWP | Lightning Strike (Minimal Wear),$206.21,$215.58
